Organisation name,Organisation number (ACN),donor,donor-ratio,donor-matches,first-donor-party,first-donor-value,contractor,contractor-ratio,contractor-matches,first-contractor-value,company-status
10 BOND PTY LTD,60477116,,,,,,,,,,REGD
7-ELEVEN STORES PTY LTD,5299427,,,,,,,,,,REGD
A & G ENGINEERING PTY LTD,2850017,,,,,,,,,,REGD
A & J INVESTMENTS PTY LTD,1057272,,,,,,,,,,REGD
A & R RETAIL HOLDINGS PTY LTD,51848545,,,,,,,,,,REGD
A C MCGRATH & CO PTY LTD,132427,,,,,,,,,,REGD
A ROYALE HOLDINGS PTY LTD,1122158,,,,,,,,,,REGD
A S P ALUMINIUM HOLDINGS PTY LTD,2302310,,,,,,,,,,REGD
A. AND F. SULLIVAN PTY. LIMITED,8409943,,,,,,,,,,REGD
A. KNOX CHAPMAN AND COMPANY PROPRIETARY LIMITED,4222440,,,,,,,,,,REGD
A.C. & E. PTY LIMITED,1863387,,,,,,,,,,REGD
A.C. MCGRATH & CO (WHOLESALE) PTY LTD,229336,,,,,,,,,,REGD
A.C.N. 054 622 123 PTY LTD,54622123,,,,,,,,,
A.D.C. PROPERTIES PTY LTD,336863,AD Properties Pty Ltd,96,3,Australian Democrats - SA Division Inc,2500,,,,,REGD
A.E. SMITH & SON PROPRIETARY LIMITED,4274793,,,,,,A E SMITH & SONS PTY LTD,96,1,310725.8,REGD
A.F. BAMBACH HOLDINGS PTY. LIMITED,55461,,,,,,,,,,REGD
A.F. GASON PROPRIETARY LIMITED,4667556,,,,,,,,,,REGD
A.I. TOPPER & CO PTY LTD,143957,,,,,,,,,,REGD
A.J. & P.A. MCBRIDE PTY. LIMITED,7870804,,,,,,,,,,REGD
A.J. BUSH & SONS (MANUFACTURES) PTY LTD,58453,AJ Bush and Sons (Manufactures) Pty Ltd,92,1,Liberal Party of Australia (QLD Division),2000,,,,,REGD
A.J. BUSH & SONS (RETAIL) PTY LTD,320392,,,,,,,,,,REGD
A.J. BUSH & SONS PTY LTD,134010,A J Bush & Sons,100,3,Australian Labor Party (State of Queensland) - QLD,1500,,,,,REGD
A.W. EDWARDS PTY LTD,45849,A W Edwards Pty Ltd,100,2,"Liberal Party of Australia, NSW Division - NSW",7200,,,,,REGD
ABARIS (AUSTRALIA) PTY LTD,4597899,,,,,,,,,,REGD
ABARIS HOLDINGS PTY LTD,6067447,,,,,,,,,,REGD
ABARIS PRINTING & PUBLISHING CO. PROPRIETARY LIMITED,4340685,,,,,,,,,,REGD
ABARIS PTY LTD,58360348,,,,,,,,,,REGD
ABELLA HOLDINGS PTY LTD,9365093,,,,,,,,,,REGD
ABN 56 072 081 906 PTY LIMITED,72081906,,,,,,,,,
ACE GUTTERS INVESTMENTS PTY LTD,1171188,,,,,,,,,,REGD
ACE GUTTERS PTY LTD,1885276,Ace Gutters Pty Ltd,100,1,"Liberal Party of Australia, NSW Division",50000,,,,,REGD
ACN 000 328 147 PTY LTD,328147,,,,,,,,,
ACN 000 937 164 PTY LIMITED,937164,,,,,,,,,
ACRAN PTY LTD,2797462,,,,,,,,,,DRGD
ACTIVE PLUMBING PTY LTD,9340096,,,,,,,,,,REGD
AD. MANCE AUSTRALIA PTY. LTD.,4991306,,,,,,,,,,REGD
ADAFORD INVESTMENT PTY LTD,1420686,,,,,,,,,
ADC PROPERTY HOLDINGS PTY LTD,8414613,,,,,,,,,,REGD
ADCORP AUSTRALIA LIMITED,2208915,,,,,,Adcorp Australia Limited,100,22,30638844.15,REGD
ADELAIDE CLINIC HOLDINGS PTY. LTD.,7988758,,,,,,,,,,REGD
ADINADIS PTY. LTD.,6647721,,,,,,,,,,EXAD
